images,masks
Dataset/test/Ch3_Flair2/P44_T1_13.png,Dataset/test/Mask/P44_T1_13.png
Dataset/test/Ch3_Flair2/P44_T1_14.png,Dataset/test/Mask/P44_T1_14.png
Dataset/test/Ch3_Flair2/P44_T1_15.png,Dataset/test/Mask/P44_T1_15.png
Dataset/test/Ch3_Flair2/P44_T1_16.png,Dataset/test/Mask/P44_T1_16.png
Dataset/test/Ch3_Flair2/P44_T1_17.png,Dataset/test/Mask/P44_T1_17.png
Dataset/test/Ch3_Flair2/P44_T1_18.png,Dataset/test/Mask/P44_T1_18.png
Dataset/test/Ch3_Flair2/P44_T1_19.png,Dataset/test/Mask/P44_T1_19.png
Dataset/test/Ch3_Flair2/P44_T1_20.png,Dataset/test/Mask/P44_T1_20.png
Dataset/test/Ch3_Flair2/P44_T1_21.png,Dataset/test/Mask/P44_T1_21.png
Dataset/test/Ch3_Flair2/P44_T1_22.png,Dataset/test/Mask/P44_T1_22.png
Dataset/test/Ch3_Flair2/P44_T1_23.png,Dataset/test/Mask/P44_T1_23.png
Dataset/test/Ch3_Flair2/P44_T1_24.png,Dataset/test/Mask/P44_T1_24.png
Dataset/test/Ch3_Flair2/P44_T1_25.png,Dataset/test/Mask/P44_T1_25.png
Dataset/test/Ch3_Flair2/P44_T1_26.png,Dataset/test/Mask/P44_T1_26.png
Dataset/test/Ch3_Flair2/P44_T1_27.png,Dataset/test/Mask/P44_T1_27.png
Dataset/test/Ch3_Flair2/P44_T1_28.png,Dataset/test/Mask/P44_T1_28.png
Dataset/test/Ch3_Flair2/P44_T1_29.png,Dataset/test/Mask/P44_T1_29.png
Dataset/test/Ch3_Flair2/P44_T1_30.png,Dataset/test/Mask/P44_T1_30.png
Dataset/test/Ch3_Flair2/P44_T1_31.png,Dataset/test/Mask/P44_T1_31.png
Dataset/test/Ch3_Flair2/P44_T1_32.png,Dataset/test/Mask/P44_T1_32.png
Dataset/test/Ch3_Flair2/P44_T1_33.png,Dataset/test/Mask/P44_T1_33.png
Dataset/test/Ch3_Flair2/P44_T1_34.png,Dataset/test/Mask/P44_T1_34.png
Dataset/test/Ch3_Flair2/P44_T1_35.png,Dataset/test/Mask/P44_T1_35.png
Dataset/test/Ch3_Flair2/P44_T1_36.png,Dataset/test/Mask/P44_T1_36.png
Dataset/test/Ch3_Flair2/P44_T1_37.png,Dataset/test/Mask/P44_T1_37.png
Dataset/test/Ch3_Flair2/P44_T1_38.png,Dataset/test/Mask/P44_T1_38.png
Dataset/test/Ch3_Flair2/P44_T1_39.png,Dataset/test/Mask/P44_T1_39.png
Dataset/test/Ch3_Flair2/P44_T1_40.png,Dataset/test/Mask/P44_T1_40.png
Dataset/test/Ch3_Flair2/P44_T1_41.png,Dataset/test/Mask/P44_T1_41.png
Dataset/test/Ch3_Flair2/P44_T1_42.png,Dataset/test/Mask/P44_T1_42.png
Dataset/test/Ch3_Flair2/P44_T1_43.png,Dataset/test/Mask/P44_T1_43.png
Dataset/test/Ch3_Flair2/P44_T1_44.png,Dataset/test/Mask/P44_T1_44.png
Dataset/test/Ch3_Flair2/P44_T1_45.png,Dataset/test/Mask/P44_T1_45.png
Dataset/test/Ch3_Flair2/P44_T1_46.png,Dataset/test/Mask/P44_T1_46.png
Dataset/test/Ch3_Flair2/P44_T1_47.png,Dataset/test/Mask/P44_T1_47.png
Dataset/test/Ch3_Flair2/P44_T1_48.png,Dataset/test/Mask/P44_T1_48.png
Dataset/test/Ch3_Flair2/P44_T1_49.png,Dataset/test/Mask/P44_T1_49.png
Dataset/test/Ch3_Flair2/P44_T1_50.png,Dataset/test/Mask/P44_T1_50.png
Dataset/test/Ch3_Flair2/P44_T1_51.png,Dataset/test/Mask/P44_T1_51.png
Dataset/test/Ch3_Flair2/P44_T1_52.png,Dataset/test/Mask/P44_T1_52.png
Dataset/test/Ch3_Flair2/P44_T1_53.png,Dataset/test/Mask/P44_T1_53.png
Dataset/test/Ch3_Flair2/P44_T1_54.png,Dataset/test/Mask/P44_T1_54.png
Dataset/test/Ch3_Flair2/P44_T1_55.png,Dataset/test/Mask/P44_T1_55.png
Dataset/test/Ch3_Flair2/P44_T1_56.png,Dataset/test/Mask/P44_T1_56.png
Dataset/test/Ch3_Flair2/P44_T1_57.png,Dataset/test/Mask/P44_T1_57.png
Dataset/test/Ch3_Flair2/P44_T1_58.png,Dataset/test/Mask/P44_T1_58.png
Dataset/test/Ch3_Flair2/P44_T1_59.png,Dataset/test/Mask/P44_T1_59.png
Dataset/test/Ch3_Flair2/P44_T1_60.png,Dataset/test/Mask/P44_T1_60.png
Dataset/test/Ch3_Flair2/P44_T1_61.png,Dataset/test/Mask/P44_T1_61.png
Dataset/test/Ch3_Flair2/P44_T1_62.png,Dataset/test/Mask/P44_T1_62.png
Dataset/test/Ch3_Flair2/P44_T1_63.png,Dataset/test/Mask/P44_T1_63.png
Dataset/test/Ch3_Flair2/P44_T1_64.png,Dataset/test/Mask/P44_T1_64.png
