images,masks
Dataset/test/mat5ch_Flair/P44_T1_13.mat,Dataset/test/Mask/P44_T1_13.png
Dataset/test/mat5ch_Flair/P44_T1_14.mat,Dataset/test/Mask/P44_T1_14.png
Dataset/test/mat5ch_Flair/P44_T1_15.mat,Dataset/test/Mask/P44_T1_15.png
Dataset/test/mat5ch_Flair/P44_T1_16.mat,Dataset/test/Mask/P44_T1_16.png
Dataset/test/mat5ch_Flair/P44_T1_17.mat,Dataset/test/Mask/P44_T1_17.png
Dataset/test/mat5ch_Flair/P44_T1_18.mat,Dataset/test/Mask/P44_T1_18.png
Dataset/test/mat5ch_Flair/P44_T1_19.mat,Dataset/test/Mask/P44_T1_19.png
Dataset/test/mat5ch_Flair/P44_T1_20.mat,Dataset/test/Mask/P44_T1_20.png
Dataset/test/mat5ch_Flair/P44_T1_21.mat,Dataset/test/Mask/P44_T1_21.png
Dataset/test/mat5ch_Flair/P44_T1_22.mat,Dataset/test/Mask/P44_T1_22.png
Dataset/test/mat5ch_Flair/P44_T1_23.mat,Dataset/test/Mask/P44_T1_23.png
Dataset/test/mat5ch_Flair/P44_T1_24.mat,Dataset/test/Mask/P44_T1_24.png
Dataset/test/mat5ch_Flair/P44_T1_25.mat,Dataset/test/Mask/P44_T1_25.png
Dataset/test/mat5ch_Flair/P44_T1_26.mat,Dataset/test/Mask/P44_T1_26.png
Dataset/test/mat5ch_Flair/P44_T1_27.mat,Dataset/test/Mask/P44_T1_27.png
Dataset/test/mat5ch_Flair/P44_T1_28.mat,Dataset/test/Mask/P44_T1_28.png
Dataset/test/mat5ch_Flair/P44_T1_29.mat,Dataset/test/Mask/P44_T1_29.png
Dataset/test/mat5ch_Flair/P44_T1_30.mat,Dataset/test/Mask/P44_T1_30.png
Dataset/test/mat5ch_Flair/P44_T1_31.mat,Dataset/test/Mask/P44_T1_31.png
Dataset/test/mat5ch_Flair/P44_T1_32.mat,Dataset/test/Mask/P44_T1_32.png
Dataset/test/mat5ch_Flair/P44_T1_33.mat,Dataset/test/Mask/P44_T1_33.png
Dataset/test/mat5ch_Flair/P44_T1_34.mat,Dataset/test/Mask/P44_T1_34.png
Dataset/test/mat5ch_Flair/P44_T1_35.mat,Dataset/test/Mask/P44_T1_35.png
Dataset/test/mat5ch_Flair/P44_T1_36.mat,Dataset/test/Mask/P44_T1_36.png
Dataset/test/mat5ch_Flair/P44_T1_37.mat,Dataset/test/Mask/P44_T1_37.png
Dataset/test/mat5ch_Flair/P44_T1_38.mat,Dataset/test/Mask/P44_T1_38.png
Dataset/test/mat5ch_Flair/P44_T1_39.mat,Dataset/test/Mask/P44_T1_39.png
Dataset/test/mat5ch_Flair/P44_T1_40.mat,Dataset/test/Mask/P44_T1_40.png
Dataset/test/mat5ch_Flair/P44_T1_41.mat,Dataset/test/Mask/P44_T1_41.png
Dataset/test/mat5ch_Flair/P44_T1_42.mat,Dataset/test/Mask/P44_T1_42.png
Dataset/test/mat5ch_Flair/P44_T1_43.mat,Dataset/test/Mask/P44_T1_43.png
Dataset/test/mat5ch_Flair/P44_T1_44.mat,Dataset/test/Mask/P44_T1_44.png
Dataset/test/mat5ch_Flair/P44_T1_45.mat,Dataset/test/Mask/P44_T1_45.png
Dataset/test/mat5ch_Flair/P44_T1_46.mat,Dataset/test/Mask/P44_T1_46.png
Dataset/test/mat5ch_Flair/P44_T1_47.mat,Dataset/test/Mask/P44_T1_47.png
Dataset/test/mat5ch_Flair/P44_T1_48.mat,Dataset/test/Mask/P44_T1_48.png
Dataset/test/mat5ch_Flair/P44_T1_49.mat,Dataset/test/Mask/P44_T1_49.png
Dataset/test/mat5ch_Flair/P44_T1_50.mat,Dataset/test/Mask/P44_T1_50.png
Dataset/test/mat5ch_Flair/P44_T1_51.mat,Dataset/test/Mask/P44_T1_51.png
Dataset/test/mat5ch_Flair/P44_T1_52.mat,Dataset/test/Mask/P44_T1_52.png
Dataset/test/mat5ch_Flair/P44_T1_53.mat,Dataset/test/Mask/P44_T1_53.png
Dataset/test/mat5ch_Flair/P44_T1_54.mat,Dataset/test/Mask/P44_T1_54.png
Dataset/test/mat5ch_Flair/P44_T1_55.mat,Dataset/test/Mask/P44_T1_55.png
Dataset/test/mat5ch_Flair/P44_T1_56.mat,Dataset/test/Mask/P44_T1_56.png
Dataset/test/mat5ch_Flair/P44_T1_57.mat,Dataset/test/Mask/P44_T1_57.png
Dataset/test/mat5ch_Flair/P44_T1_58.mat,Dataset/test/Mask/P44_T1_58.png
Dataset/test/mat5ch_Flair/P44_T1_59.mat,Dataset/test/Mask/P44_T1_59.png
Dataset/test/mat5ch_Flair/P44_T1_60.mat,Dataset/test/Mask/P44_T1_60.png
Dataset/test/mat5ch_Flair/P44_T1_61.mat,Dataset/test/Mask/P44_T1_61.png
Dataset/test/mat5ch_Flair/P44_T1_62.mat,Dataset/test/Mask/P44_T1_62.png
Dataset/test/mat5ch_Flair/P44_T1_63.mat,Dataset/test/Mask/P44_T1_63.png
Dataset/test/mat5ch_Flair/P44_T1_64.mat,Dataset/test/Mask/P44_T1_64.png
Dataset/test/mat5ch_Flair/P44_T1_65.mat,Dataset/test/Mask/P44_T1_65.png
Dataset/test/mat5ch_Flair/P44_T1_66.mat,Dataset/test/Mask/P44_T1_66.png
Dataset/test/mat5ch_Flair/P44_T1_67.mat,Dataset/test/Mask/P44_T1_67.png
Dataset/test/mat5ch_Flair/P44_T1_68.mat,Dataset/test/Mask/P44_T1_68.png
Dataset/test/mat5ch_Flair/P44_T1_69.mat,Dataset/test/Mask/P44_T1_69.png
Dataset/test/mat5ch_Flair/P44_T1_70.mat,Dataset/test/Mask/P44_T1_70.png
Dataset/test/mat5ch_Flair/P44_T1_71.mat,Dataset/test/Mask/P44_T1_71.png
Dataset/test/mat5ch_Flair/P44_T1_72.mat,Dataset/test/Mask/P44_T1_72.png
