images,masks
Dataset/test/MultiCh_11/P44_T1_22.mat,Dataset/test/MultiCh_Mask_11/P44_T1_22.mat
Dataset/test/MultiCh_11/P44_T1_23.mat,Dataset/test/MultiCh_Mask_11/P44_T1_23.mat
Dataset/test/MultiCh_11/P44_T1_24.mat,Dataset/test/MultiCh_Mask_11/P44_T1_24.mat
Dataset/test/MultiCh_11/P44_T1_25.mat,Dataset/test/MultiCh_Mask_11/P44_T1_25.mat
Dataset/test/MultiCh_11/P44_T1_26.mat,Dataset/test/MultiCh_Mask_11/P44_T1_26.mat
Dataset/test/MultiCh_11/P44_T1_27.mat,Dataset/test/MultiCh_Mask_11/P44_T1_27.mat
Dataset/test/MultiCh_11/P44_T1_28.mat,Dataset/test/MultiCh_Mask_11/P44_T1_28.mat
Dataset/test/MultiCh_11/P44_T1_29.mat,Dataset/test/MultiCh_Mask_11/P44_T1_29.mat
Dataset/test/MultiCh_11/P44_T1_30.mat,Dataset/test/MultiCh_Mask_11/P44_T1_30.mat
Dataset/test/MultiCh_11/P44_T1_31.mat,Dataset/test/MultiCh_Mask_11/P44_T1_31.mat
Dataset/test/MultiCh_11/P44_T1_32.mat,Dataset/test/MultiCh_Mask_11/P44_T1_32.mat
Dataset/test/MultiCh_11/P44_T1_33.mat,Dataset/test/MultiCh_Mask_11/P44_T1_33.mat
Dataset/test/MultiCh_11/P44_T1_34.mat,Dataset/test/MultiCh_Mask_11/P44_T1_34.mat
Dataset/test/MultiCh_11/P44_T1_35.mat,Dataset/test/MultiCh_Mask_11/P44_T1_35.mat
Dataset/test/MultiCh_11/P44_T1_36.mat,Dataset/test/MultiCh_Mask_11/P44_T1_36.mat
Dataset/test/MultiCh_11/P44_T1_37.mat,Dataset/test/MultiCh_Mask_11/P44_T1_37.mat
Dataset/test/MultiCh_11/P44_T1_38.mat,Dataset/test/MultiCh_Mask_11/P44_T1_38.mat
Dataset/test/MultiCh_11/P44_T1_39.mat,Dataset/test/MultiCh_Mask_11/P44_T1_39.mat
Dataset/test/MultiCh_11/P44_T1_40.mat,Dataset/test/MultiCh_Mask_11/P44_T1_40.mat
Dataset/test/MultiCh_11/P44_T1_41.mat,Dataset/test/MultiCh_Mask_11/P44_T1_41.mat
Dataset/test/MultiCh_11/P44_T1_42.mat,Dataset/test/MultiCh_Mask_11/P44_T1_42.mat
Dataset/test/MultiCh_11/P44_T1_43.mat,Dataset/test/MultiCh_Mask_11/P44_T1_43.mat
Dataset/test/MultiCh_11/P44_T1_44.mat,Dataset/test/MultiCh_Mask_11/P44_T1_44.mat
Dataset/test/MultiCh_11/P44_T1_45.mat,Dataset/test/MultiCh_Mask_11/P44_T1_45.mat
Dataset/test/MultiCh_11/P44_T1_46.mat,Dataset/test/MultiCh_Mask_11/P44_T1_46.mat
Dataset/test/MultiCh_11/P44_T1_47.mat,Dataset/test/MultiCh_Mask_11/P44_T1_47.mat
Dataset/test/MultiCh_11/P44_T1_48.mat,Dataset/test/MultiCh_Mask_11/P44_T1_48.mat
Dataset/test/MultiCh_11/P44_T1_49.mat,Dataset/test/MultiCh_Mask_11/P44_T1_49.mat
Dataset/test/MultiCh_11/P44_T1_50.mat,Dataset/test/MultiCh_Mask_11/P44_T1_50.mat
Dataset/test/MultiCh_11/P44_T1_51.mat,Dataset/test/MultiCh_Mask_11/P44_T1_51.mat
